#UPDATE_DATE,5/26/2026,,,,,,,,,,,,,
หมวด,ITEM CODE,Ø (cm),ความยาว (m),Order,Site (หน่วยงาน),Stock (ท่อน),BOM (m³/ท่อน),Stock (m³),โรงงาน,Ø_mm,Area,ปีผลิต,ปีเสา,เหล็กเสริมพิเศษ
CENTRAL3,I40A1050T02,40,10.5,(ว่าง),CENTRAL3,1,1.302,1.302,F3,I40,,,,
CENTRAL3,I40A1100T02,40,11,(ว่าง),CENTRAL3,2,1.364,2.728,F3,I40,,,,
CENTRAL3,S18A0900S02,18,9,(ว่าง),CENTRAL3,1,0.2916,0.2916,F3,S18,,,,
CENTRAL3,S18A1800S04,18,18,(ว่าง),CENTRAL3,5,0.5832,2.916,F3,S18,,,,
CENTRAL3,S22A0800S04,22,8,(ว่าง),CENTRAL3,1,0.3872,0.3872,F3,S22,,,,
CENTRAL3,S26A0500S04,26,5,(ว่าง),CENTRAL3,12,0.338,4.056,F3,S26,,,,
CENTRAL3,S26A0800S00,26,8,(ว่าง),CENTRAL3,1,0.5408,0.5408,F3,S26,,,,
CENTRAL3,S26A0800S04,26,8,(ว่าง),CENTRAL3,20,0.5408,10.816,F3,S26,,,,
CENTRAL3,S26A1200S04,26,12,(ว่าง),CENTRAL3,3,0.8112,2.4336,F3,S26,,,,
CENTRAL3,S26A1300S05,26,13,(ว่าง),CENTRAL3,3,0.8788,2.6364,F3,S26,,,,
CENTRAL3,S30A0450T04,30,4.5,(ว่าง),CENTRAL3,9,0.405,3.645,F3,S30,,,,
CENTRAL3,S30A0500P04,30,5,(ว่าง),CENTRAL3,4,0.45,1.8,F3,S30,,,,
CENTRAL3,S30A0700S05,30,7,(ว่าง),CENTRAL3,4,0.63,2.52,F3,S30,,,,
CENTRAL3,S30A0800E05029901,30,8,(ว่าง),CENTRAL3,4,0.72,2.88,F3,S30,,,,
CENTRAL3,S30A0800S00,30,8,(ว่าง),CENTRAL3,8,0.72,5.76,F3,S30,,,,
CENTRAL3,S30A0800S04,30,8,(ว่าง),CENTRAL3,58,0.72,41.76,F3,S30,,,,
CENTRAL3,S30A0900S04,30,9,(ว่าง),CENTRAL3,6,0.81,4.86,F3,S30,,,,
CENTRAL3,S30A1000S04,30,10,(ว่าง),CENTRAL3,3,0.9,2.7,F3,S30,,,,
CENTRAL3,S30A1100S04,30,11,(ว่าง),CENTRAL3,1,0.99,0.99,F3,S30,,,,
CENTRAL3,S30A1200S04,30,12,(ว่าง),CENTRAL3,13,1.08,14.04,F3,S30,,,,
CENTRAL3,S30A1200S05,30,12,(ว่าง),CENTRAL3,37,1.08,39.96,F3,S30,,,,
CENTRAL3,S30A1300S05,30,13,(ว่าง),CENTRAL3,1,1.17,1.17,F3,S30,,,,
CENTRAL3,S30A1400S04,30,14,(ว่าง),CENTRAL3,4,1.26,5.04,F3,S30,,,,
CENTRAL3,S35A0800S00,35,8,(ว่าง),CENTRAL3,5,0.98,4.9,F3,S35,,,,
CENTRAL3,S35A0800S04,35,8,(ว่าง),CENTRAL3,3,0.98,2.94,F3,S35,,,,
CENTRAL3,S35A0900S04,35,9,(ว่าง),CENTRAL3,51,1.1025,56.2275,F3,S35,,,,
CENTRAL3,S35A1000E02,35,10,(ว่าง),CENTRAL3,1,1.225,1.225,F3,S35,,,,
CENTRAL3,S35A1000S04,35,10,(ว่าง),CENTRAL3,7,1.225,8.575,F3,S35,,,,
CENTRAL3,S35A1000S05,35,10,(ว่าง),CENTRAL3,11,1.225,13.475,F3,S35,,,,
CENTRAL3,S35A1100S04,35,11,(ว่าง),CENTRAL3,6,1.3475,8.085,F3,S35,,,,
CENTRAL3,S35A1200S05,35,12,(ว่าง),CENTRAL3,48,1.47,70.56,F3,S35,,,,
CENTRAL3,S35A1350S02,35,13.5,(ว่าง),CENTRAL3,10,1.6537,16.537,F3,S35,,,,
CENTRAL3,S35A2700S04,35,27,(ว่าง),CENTRAL3,6,3.3075,19.845,F3,S35,,,,
CENTRAL3,S40A0650S04,40,6.5,(ว่าง),CENTRAL3,4,1.04,4.16,F3,S40,,,,
CENTRAL3,S40A0750S04,40,7.5,(ว่าง),CENTRAL3,2,1.2,2.4,F3,S40,,,,
CENTRAL3,S40A0800S00,40,8,(ว่าง),CENTRAL3,17,1.28,21.76,F3,S40,,,,
CENTRAL3,S40A0800S04,40,8,(ว่าง),CENTRAL3,6,1.28,7.68,F3,S40,,,,
CENTRAL3,S40A0900S00,40,9,(ว่าง),CENTRAL3,3,1.44,4.32,F3,S40,,,,
CENTRAL3,S40A1100S04,40,11,(ว่าง),CENTRAL3,2,1.76,3.52,F3,S40,,,,
CENTRAL3,S40A1100S05,40,11,(ว่าง),CENTRAL3,1,1.76,1.76,F3,S40,,,,
CENTRAL3,S40A1100S25,40,11,(ว่าง),CENTRAL3,2,1.76,3.52,F3,S40,,,,
CENTRAL3,S40A1200S04,40,12,(ว่าง),CENTRAL3,4,1.92,7.68,F3,S40,,,,
CENTRAL3,S40A1200S05,40,12,(ว่าง),CENTRAL3,4,1.92,7.68,F3,S40,,,,
CENTRAL3,S40A1200T00,40,12,(ว่าง),CENTRAL3,9,1.92,17.28,F3,S40,,,,
CENTRAL3,S40A1200T50037501,40,12,(ว่าง),CENTRAL3,4,1.92,7.68,F3,S40,,,,
CENTRAL3,S45A0800S00,45,8,(ว่าง),CENTRAL3,8,1.62,12.96,F3,S45,,,,
CENTRAL3,S45A1000E05,45,10,(ว่าง),CENTRAL3,2,2.025,4.05,F3,S45,,,,
CENTRAL3,S45A1000S02,45,10,(ว่าง),CENTRAL3,5,2.025,10.125,F3,S45,,,,
CENTRAL3,S45A1050T02A,45,10.5,(ว่าง),CENTRAL3,1,2.1263,2.1263,F3,S45,,,,
CENTRAL3,S45A1120E02,45,11.2,(ว่าง),CENTRAL3,2,2.268,4.536,F3,S45,,,,
CENTRAL3,S45A1200S05,45,12,(ว่าง),CENTRAL3,32,2.43,77.76,F3,S45,,,,
CENTRAL3,S45A2000S04,45,20,(ว่าง),CENTRAL3,6,4.05,24.3,F3,S45,,,,
CENTRAL3,S52A1500S04,52.5,15,(ว่าง),CENTRAL3,2,4.1344,8.2688,F3,S52.5,,,,
,D20A0600E73039801,20,6,,,1,0.24,0.24,F1,D20,,,,
,D20A0900E73028101,20,9,,,1,0.36,0.36,F1,D20,,,,
,D25A1500E73038101,25,15,,,1,0.9375,0.9375,F1,D25,,,,
,D30A1600E73012701,30,16,,,1,1.44,1.44,F1,D30,,,,
,D30A1650E73006102,30,16.5,,,3,1.485,4.455,F1,D30,,,,
,D35A1200E73032301,35,12,,,4,1.47,5.88,F1,D35,,,,
,G30A0491P00,30,4.91,,,6,0.4419,2.6514,F1,G30,,,,
,G30A0491P00,30,4.91,,,11,0.4419,4.8609,F1,G30,,,,
,I22B0700T02,22,7,,,1,0.2702,0.2702,F1,I22,,,,
,I22B0900T02,22,9,,,3,0.3474,1.0422,F1,I22,,,,
,I22B0900T02,22,9,,,7,0.3474,2.4318,F1,I22,,,,
,I22B0950T02,22,9.5,,,88,0.3667,32.2696,F1,I22,,,,
,I22B1000T02,22,10,,,4,0.386,1.544,F1,I22,,,,
,I22B1050T02,22,10.5,,,5,0.4053,2.0265,F1,I22,,,,
,I22B1100T02,22,11,,,2,0.4246,0.8492,F1,I22,,,,
,I22B1100T02,22,11,,,1,0.4246,0.4246,F1,I22,,,,
,I22B1200T02,22,12,,,46,0.4632,21.3072,F1,I22,,,,
,I22D0500S02,22,5,,,1,0.193,0.193,F1,I22,,,,
,I22D0800S00,22,8,,,4,0.3088,1.2352,F1,I22,,,,
,I22D0900S02,22,9,,,7,0.3474,2.4318,F1,I22,,,,
